title,author,description,rating,genres,shelves,image_book,url
Snow Flower and the Secret Fan,Lisa See,"In nineteenth-century China, in a remote Hunan county, a girl named Lily, at the tender age of seven, is paired with a laotong, “old same,” in an emotional match that will last a lifetime. The laotong, Snow Flower, introduces herself by sending Lily a silk fan on which she’s painted a poem in nu shu, a unique language that Chinese women created in order to communicate in secret, away from the influence of men.

As the years pass, Lily and Snow Flower send messages on fans, compose stories on handkerchiefs, reaching out of isolation to share their hopes, dreams, and accomplishments. Together, they endure the agony of foot-binding, and reflect upon their arranged marriages, shared loneliness, and the joys and tragedies of motherhood. The two find solace, developing a bond that keeps their spirits alive. But when a misunderstanding arises, their deep friendship suddenly threatens to tear apart.
Show more",4.09,"['Historical Fiction', 'Fiction', 'Book Club', 'China', 'Historical', 'Asia', 'Adult']","['to-read', 'currently-reading', 'historical-fiction', 'fiction', 'favorites', 'book-club', 'china']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1532005164i/40873273.jpg,https://www.goodreads.com/book/show/40873273-snow-flower-and-the-secret-fan
Artemis Fowl,Eoin Colfer,"Twelve-year-old Artemis Fowl is a millionaire, a genius, and above all, a criminal mastermind. But even Artemis doesn't know what he's taken on when he kidnaps a fairy, Captain Holly Short of the LEPrecon Unit. These aren't the fairies of bedtime stories—they're dangerous! Full of unexpected twists and turns, Artemis Fowl is a riveting, magical adventure.",3.86,"['Fantasy', 'Young Adult', 'Fiction', 'Middle Grade', 'Childrens', 'Science Fiction', 'Adventure']","['to-read', 'currently-reading', 'fantasy', 'young-adult', 'favorites', 'fiction', 'ya']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1630661894i/249747.jpg,https://www.goodreads.com/book/show/249747.Artemis_Fowl
The Inheritance Games,Jennifer Lynn Barnes,"Avery Grambs has a plan for a better future: survive high school, win a scholarship, and get out. But her fortunes change in an instant when billionaire Tobias Hawthorne dies and leaves Avery virtually his entire fortune. The catch? Avery has no idea why -- or even who Tobias Hawthorne is.

To receive her inheritance, Avery must move into sprawling, secret passage-filled Hawthorne House, where every room bears the old man's touch -- and his love of puzzles, riddles, and codes. Unfortunately for Avery, Hawthorne House is also occupied by the family that Tobias Hawthorne just dispossessed. This includes the four Hawthorne grandsons: dangerous, magnetic, brilliant boys who grew up with every expectation that one day, they would inherit billions. Heir apparent Grayson Hawthorne is convinced that Avery must be a conwoman, and he's determined to take her down. His brother, Jameson, views her as their grandfather's last hurrah: a twisted riddle, a puzzle to be solved. Caught in a world of wealth and privilege, with danger around every turn, Avery will have to play the game herself just to survive.
Show more",4.13,"['Mystery', 'Young Adult', 'Romance', 'Fiction', 'Fantasy', 'Mystery Thriller', 'Thriller']","['to-read', 'currently-reading', 'mystery', 'physical-tbr', 'favorites', 'young-adult', '2023']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1587396413i/52439531.jpg,https://www.goodreads.com/book/show/52439531-the-inheritance-games
Northanger Abbey,Jane Austen,"A wonderfully entertaining coming-of-age story, Northanger Abbey is often referred to as Jane Austen's ""Gothic parody."" Decrepit castles, locked rooms, mysterious chests, cryptic notes, and tyrannical fathers give the story an uncanny air, but one with a decidedly satirical twist.

The story's unlikely heroine is Catherine Morland, a remarkably innocent seventeen-year-old woman from a country parsonage. While spending a few weeks in Bath with a family friend, Catherine meets and falls in love with Henry Tilney, who invites her to visit his family estate, Northanger Abbey. Once there, Catherine, a great reader of Gothic thrillers, lets the shadowy atmosphere of the old mansion fill her mind with terrible suspicions. What is the mystery surrounding the death of Henry's mother? Is the family concealing a terrible secret within the elegant rooms of the Abbey? Can she trust Henry, or is he part of an evil conspiracy? Catherine finds dreadful portents in the most prosaic events, until Henry persuades her to see the peril in confusing life with art.

Executed with high-spirited gusto, is a lighthearted, yet unsentimental commentary on love and marriage.
Show more",3.85,"['Classics', 'Fiction', 'Gothic', 'Historical Fiction', 'Literature', 'Audiobook', 'Historical']","['to-read', 'classics', 'currently-reading', 'fiction', 'favorites', 'classic', 'owned']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388201718i/50398.jpg,https://www.goodreads.com/book/show/50398.Northanger_Abbey
The Angel Experiment,James Patterson,"Six unforgettable kids — with no families, no homes — are running for their lives. Max Ride and her best friends have the ability to fly. And that's just the beginning of their amazing powers. But they don't know where they come from, who's hunting them, why they are different from all other humans... and if they're meant to save mankind — or destroy it.",4.07,"['Young Adult', 'Fantasy', 'Science Fiction', 'Fiction', 'Adventure', 'Paranormal', 'Action']","['to-read', 'currently-reading', 'young-adult', 'favorites', 'fantasy', 'sci-fi', 'science-fiction']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1339277875i/13152.jpg,https://www.goodreads.com/book/show/13152.The_Angel_Experiment
"Faust, First Part",Johann Wolfgang von Goethe,"Goethe’s masterpiece and perhaps the greatest work in German literature, Faust has made the legendary German alchemist one of the central myths of the Western world. Here indeed is a monumental Faust, an audacious man boldly wagering with the devil, Mephistopheles, that no magic, sensuality, experience, or knowledge can lead him to a moment he would wish to last forever. Here, in Faust, Part I, the tremendous versatility of Goethe’s genius creates some of the most beautiful passages in literature. Here too we experience Goethe’s characteristic humor, the excitement and eroticism of the witches’ Walpurgis Night, and the moving emotion of Gretchen’s tragic fate.

This authoritative edition, which offers Peter Salm’s wonderfully readable translation as well as the original German on facing pages, brings us Faust in a vital, rhythmic American idiom that carefully preserves the grandeur, integrity, and poetic immediacy of Goethe’s words.
Show more",3.76,"['Classics', 'Fiction', 'Plays', 'Poetry', 'German Literature', 'Drama', 'Literature']","['to-read', 'currently-reading', 'classics', 'fiction', 'plays', 'poetry', 'favorites']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1435405022i/14706.jpg,https://www.goodreads.com/book/show/14706.Faust_First_Part
High Fidelity,Nick Hornby,"Do you know your desert-island, all-time, top five most memorable split-ups?

Rob does. He keeps a list, in fact. But Laura isn't on it—even though she's just become his latest ex. He's got his life back, you see. He can just do what he wants when he wants: like listen to whatever music he likes, look up the girls that are on his list, and generally behaves as if Laura never mattered. But Rob finds he can't move on. He's stuck in a really deep groove—and it's called Laura. Soon, Rob's asking himself some big questions: about love, about life—and about why we choose to share ours with the people we do.
Show more",3.90,"['Fiction', 'Music', 'Contemporary', 'Humor', 'Romance', 'Novels', 'British Literature']","['to-read', 'fiction', 'currently-reading', 'favorites', 'music', 'own', 'owned']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327928082i/285092.jpg,https://www.goodreads.com/book/show/285092.High_Fidelity
A Court of Wings and Ruin,Sarah J. Maas,"FEYRE WILL BRING VENGEANCE.

She has left the Night Court - and her High Lord - and is playing a deadly game of deceit. In the Spring Court, Tamlin is making deals with the invading king threatening to bring Prythian to its knees, and Feyre is determined to uncover his plans. But to do so she must weave a web of lies, and one slip may spell doom not only for Feyre, but for her world as well.

As mighty armies grapple for power, Feyre must decide who to trust amongst the dazzling and lethal High Lords - and hunt for allies in unexpected places.

BUT WHILE WAR RAGES, IT IS HER HEART THAT WILL FACE THE GREATEST BATTLE.

THE THRILLING THIRD BOOK IN #1 BESTSELLING FANTASY SERIES FROM SARAH J. MAAS.
Show more",4.47,"['Fantasy', 'Romance', 'Romantasy', 'Young Adult', 'Fiction', 'Fae', 'New Adult']","['to-read', 'currently-reading', 'fantasy', 'favorites', '2024', '2023', 'romance']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1555221560i/23766634.jpg,https://www.goodreads.com/book/show/23766634-a-court-of-wings-and-ruin
Matched,Ally Condie,"In the Society, officials decide. Who you love. Where you work. When you die.

Cassia has always trusted their choices. It’s hardly any price to pay for a long life, the perfect job, the ideal mate. So when her best friend appears on the Matching screen, Cassia knows with complete certainty that he is the one…until she sees another face flash for an instant before the screen fades to black. Now Cassia is faced with impossible choices: between Xander and Ky, between the only life she’s known and a path no one else has ever dared follow—between perfection and passion.

is a story for right now and storytelling with the resonance of a classic.
Show more",3.62,"['Young Adult', 'Dystopia', 'Fantasy', 'Science Fiction', 'Fiction', 'Teen', 'Audiobook']","['to-read', 'currently-reading', 'young-adult', 'dystopian', 'ya', 'dystopia', 'favorites']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1367706191i/7735333.jpg,https://www.goodreads.com/book/show/7735333-matched
The Shipping News,Annie Proulx,"At thirty-six, Quoyle, a third-rate newspaperman, is wrenched violently out of his workaday life when his two-timing wife meets her just deserts. He retreats with his two daughters to his ancestral home on the starkly beautiful Newfoundland coast, where a rich cast of local characters all play a part in Quoyle's struggle to reclaim his life. As three generations of his family cobble up new lives, Quoyle confronts his private demons--and the unpredictable forces of nature and society--and begins to see the possibility of love without pain or misery.

A vigorous, darkly comic, and at times magical portrait of the contemporary American family, The Shipping News shows why E. Annie Proulx is recognized as one of the most gifted and original writers in America today.
(back cover)
Show more",3.88,"['Fiction', 'Book Club', 'Contemporary', 'Canada', 'Literary Fiction', 'Literature', 'Classics']","['to-read', 'currently-reading', 'fiction', 'favorites', 'pulitzer', 'own', 'owned']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1554192241i/7354.jpg,https://www.goodreads.com/book/show/7354.The_Shipping_News
Night,Elie Wiesel,"Born in the town of Sighet, Transylvania, Elie Wiesel was a teenager when he and his family were taken from their home in 1944 to Auschwitz concentration camp, and then to Buchenwald. Night is the terrifying record of Elie Wiesel's memories of the death of his family, the death of his own innocence, and his despair as a deeply observant Jew confronting the absolute evil of man. This new translation by his wife and most frequent translator, Marion Wiesel, corrects important details and presents the most accurate rendering in English of Elie Wiesel's testimony to what happened in the camps and of his unforgettable message that this horror must simply never be allowed to happen again.
Show more",4.38,"['Nonfiction', 'Classics', 'History', 'Memoir', 'School', 'Holocaust', 'Biography']","['currently-reading', 'non-fiction', 'classics', 'favorites', 'nonfiction', 'history', 'memoir']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1709507006i/1617.jpg,https://www.goodreads.com/book/show/1617.Night
Shantaram,Gregory David Roberts,"""It took me a long time and most of the world to learn what I know about love and fate and the choices we make, but the heart of it came to me in an instant, while I was chained to a wall and being tortured.""

So begins this epic, mesmerizing first novel set in the underworld of contemporary Bombay. Shantaram is narrated by Lin, an escaped convict with a false passport who flees maximum security prison in Australia for the teeming streets of a city where he can disappear.

Accompanied by his guide and faithful friend, Prabaker, the two enter Bombay's hidden society of beggars and gangsters, prostitutes and holy men, soldiers and actors, and Indians and exiles from other countries, who seek in this remarkable place what they cannot find elsewhere.

As a hunted man without a home, family, or identity, Lin searches for love and meaning while running a clinic in one of the city's poorest slums, and serving his apprenticeship in the dark arts of the Bombay mafia. The search leads him to war, prison torture, murder, and a series of enigmatic and bloody betrayals. The keys to unlock the mysteries and intrigues that bind Lin are held by two people. The first is Khader Khan: mafia godfather, criminal-philosopher-saint, and mentor to Lin in the underworld of the Golden City. The second is Karla: elusive, dangerous, and beautiful, whose passions are driven by secrets that torment her and yet give her a terrible power.

Burning slums and five-star hotels, romantic love and prison agonies, criminal wars and Bollywood films, spiritual gurus and mujaheddin guerrillas—this huge novel has the world of human experience in its reach, and a passionate love for India at its heart. Based on the life of the author, it is by any measure the debut of an extraordinary voice in literature.
Show more",4.28,"['Fiction', 'India', 'Travel', 'Adventure', 'Historical Fiction', 'Contemporary', 'Novels']","['to-read', 'currently-reading', 'fiction', 'favorites', 'india', 'owned', 'travel']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1333482282i/33600.jpg,https://www.goodreads.com/book/show/33600.Shantaram
Waiting for Godot,Samuel Beckett,"The story revolves around two seemingly homeless men simply waiting for someone—or something—named Godot. Vladimir and Estragon wait near a tree, inhabiting a drama spun of their own consciousness. The result is a comical wordplay of poetry, dreamscapes, and nonsense, which has been interpreted as mankind’s inexhaustible search for meaning. Beckett’s language pioneered an expressionistic minimalism that captured the existential post-World War II Europe. His play remains one of the most magical and beautiful allegories of our time.",3.84,"['Plays', 'Classics', 'Fiction', 'Drama', 'Theatre', 'Literature', 'Philosophy']","['to-read', 'plays', 'classics', 'currently-reading', 'favorites', 'fiction', 'drama']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327910301i/17716.jpg,https://www.goodreads.com/book/show/17716.Waiting_for_Godot
The Chosen,Chaim Potok,"It is the now-classic story of two fathers and two sons and the pressures on all of them to pursue the religion they share in the way that is best suited to each. And as the boys grow into young men, they discover in the other a lost spiritual brother, and a link to an unexplored world that neither had ever considered before. In effect, they exchange places, and find the peace that neither will ever retreat from again. . . .",4.07,"['Fiction', 'Classics', 'Historical Fiction', 'Young Adult', 'Jewish', 'Religion', 'Book Club']","['to-read', 'fiction', 'currently-reading', 'classics', 'favorites', 'historical-fiction', 'young-adult']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1403191327i/187181.jpg,https://www.goodreads.com/book/show/187181.The_Chosen
The Haunting of Hill House,Shirley Jackson,"It is the story of four seekers who arrive at a notoriously unfriendly pile called Hill House: Dr. Montague, an occult scholar looking for solid evidence of a ""haunting""; Theodora, the lighthearted assistant; Eleanor, a friendless, fragile young woman well acquainted with poltergeists; and Luke, the future heir of Hill House. At first, their stay seems destined to be merely a spooky encounter with inexplicable phenomena. But Hill House is gathering its powers—and soon it will choose one of them to make its own.",3.81,"['Horror', 'Classics', 'Fiction', 'Gothic', 'Mystery', 'Paranormal', 'Audiobook']","['to-read', 'currently-reading', 'horror', 'classics', 'fiction', 'favorites', 'gothic']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327871336i/89717.jpg,https://www.goodreads.com/book/show/89717.The_Haunting_of_Hill_House
Nineteen Minutes,Jodi Picoult,"In nineteen minutes, you can mow the front lawn, color your hair, watch a third of a hockey game. In nineteen minutes, you can bake scones or get a tooth filled by a dentist; you can fold laundry for a family of five....In nineteen minutes, you can stop the world, or you can just jump off it. In nineteen minutes, you can get revenge.

Sterling is a small, ordinary New Hampshire town where nothing ever happens -- until the day its complacency is shattered by a shocking act of violence. In the aftermath, the town's residents must not only seek justice in order to begin healing but also come to terms with the role they played in the tragedy. For them, the lines between truth and fiction, right and wrong, insider and outsider have been obscured forever. Josie Cormier, the teenage daughter of the judge sitting on the case, could be the state's best witness, but she can't remember what happened in front of her own eyes. And as the trial progresses, fault lines between the high school and the adult community begin to show, destroying the closest of friendships and families.

Nineteen Minutes is New York Times bestselling author Jodi Picoult's most raw, honest, and important novel yet. Told with the straightforward style for which she has become known, it asks simple questions that have no easy answers: Can your own child become a mystery to you? What does it mean to be different in our society? Is it ever okay for a victim to strike back? And who -- if anyone -- has the right to judge someone else?
Show more",4.17,"['Fiction', 'Contemporary', 'Book Club', 'Drama', 'Adult', 'Chick Lit', 'Young Adult']","['to-read', 'currently-reading', 'fiction', 'favorites', 'jodi-picoult', 'own', 'books-i-own']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348577596i/14866.jpg,https://www.goodreads.com/book/show/14866.Nineteen_Minutes
Neuromancer,William Gibson,"Hotwired to the leading edges of art and technology, Neuromancer is a cyberpunk, science fiction masterpiece—a classic that ranks with 1984 and Brave New World as one of the twentieth century’s most potent visions of the future.

The Matrix is a world within the world, a global consensus-hallucination, the representation of every byte of data in cyberspace...

Henry Dorsett Case was the sharpest data-thief in the business, until vengeful former employees crippled his nervous system. But now a new and very mysterious employer recruits him for a last-chance run. The target: an unthinkably powerful artificial intelligence orbiting Earth in service of the sinister Tessier-Ashpool business clan. With a dead man riding shotgun and Molly, mirror-eyed street-samurai, to watch his back, Case embarks on an adventure that ups the ante on an entire genre of fiction.

The winner of the Hugo, Nebula, and Philip K. Dick Awards, was the first fully-realized glimpse of humankind’s digital future—a shocking vision that has challenged our assumptions about our technology and ourselves, reinvented the way we speak and think, and forever altered the landscape of our imaginations.
Show more",3.89,"['Science Fiction', 'Fiction', 'Cyberpunk', 'Classics', 'Dystopia', 'Science Fiction Fantasy', 'Fantasy']","['to-read', 'currently-reading', 'science-fiction', 'sci-fi', 'fiction', 'cyberpunk', 'favorites']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1554437249i/6088007.jpg,https://www.goodreads.com/book/show/6088007-neuromancer
The Voyage of the Dawn Treader,C.S. Lewis,"NARNIA... the world of wicked dragons and magic spells, where the very best is brought out of even the worst people, where anything can happen (and most often does)... and where the adventure begins.

The Dawn Treader is the first ship Narnia has seen in centuries. King Caspian has built it for his voyage to find the seven lords, good men whom his evil uncle Miraz banished when he usurped the throne. The journey takes Edmund, Lucy, and their cousin Eustace to the Eastern Islands, beyond the Silver Sea, toward Aslan's country at the End of the World.
Show more",4.09,"['Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Childrens', 'Adventure', 'Christian']","['to-read', 'fantasy', 'fiction', 'classics', 'favorites', 'owned', 'young-adult']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1661032500i/140225.jpg,https://www.goodreads.com/book/show/140225.The_Voyage_of_the_Dawn_Treader
To the Lighthouse,Virginia Woolf,"The serene and maternal Mrs. Ramsay, the tragic yet absurd Mr. Ramsay, and their children and assorted guests are on holiday on the Isle of Skye. From the seemingly trivial postponement of a visit to a nearby lighthouse, Woolf constructs a remarkable, moving examination of the complex tensions and allegiances of family life and the conflict between men and women.

As time winds its way through their lives, the Ramsays face, alone and simultaneously, the greatest of human challenges and its greatest triumph—the human capacity for change.",3.81,"['Classics', 'Fiction', 'Literature', 'Novels', 'Literary Fiction', 'Feminism', '20th Century']","['to-read', 'currently-reading', 'classics', 'fiction', 'favorites', 'owned', 'own']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1639106809i/59716.jpg,https://www.goodreads.com/book/show/59716.To_the_Lighthouse
